id,name
base.res_partner_1,ASUSTeK
base.res_partner_10,The Jackson Group
base.res_partner_11,Luminous Technologies
base.res_partner_12,Camptocamp
base.res_partner_13,Axelor
base.res_partner_14,Chamber Works
base.res_partner_15,Millennium Industries
base.res_partner_16,Spark Systems
base.res_partner_17,Nebula Business
base.res_partner_18,Think Big Systems
base.res_partner_19,Seagate
base.res_partner_2,Agrolait
base.res_partner_20,Maxtor
base.res_partner_21,Global Solutions
base.res_partner_22,Vicking Direct
base.res_partner_23,Vauxoo
base.res_partner_3,China Export
base.res_partner_4,Delta PC
base.res_partner_5,Epic Technologies
base.res_partner_6,OpenElec Applications
base.res_partner_7,Bank Wealthy and sons
base.res_partner_8,Mediapole
base.res_partner_9,Best Designers
