oe_versions,id,company_id,name,update_posted,code,type,centralisation,rev_charge,view_id
,,${company_id},Contante,True,BNK1,cash,,False,2
,,${company_id},Banca,True,BNK2,bank,,False,2
-9.0-10.0-11.0,,${company_id},Note di Credito Fornitori,True,ECNJ,purchase_refund,,False,5
-9.0-10.0-11.0,,${company_id},Sezionale Acquisti,True,EXJ,purchase,,False,4
+9.0+10.0+11.0,,${company_id},Sezionale Acquisti,True,FATTU,purchase,,False,4
,,${company_id},Proposte di Parcella,True,EXJ2,purchase,,False,4
,,${company_id},Movimenti vari,True,MISC,general,,False,3
,,${company_id},Voci di apertura,True,OPEJ,general,True,False,3
-9.0-10.0-11.0,,${company_id},Sezionale Vendite,True,SAJ,sale,,False,4
+9.0+10.0+11.0,,${company_id},Sezionale Vendite,True,FAT,sale,,False,4
-9.0-10.0-11.0,,${company_id},Note di Credito,True,SCNJ,sale_refund,,False,5
,,${company_id},Giornale Magazzino,True,STJ,general,,False,3
,,${company_id},Utile o Perdita,False,OCLJ,general,True,False,3
,,${company_id},Chiusura Profitti & Perdite,False,OLPJ,general,True,False,3
,,${company_id},Voci di chiusura patrimoniale,True,OPCJ,general,True,False,3
,,${company_id},Autofatture UE,True,SAJ2,sale,,True,4
,,base.mycompany,Contante,True,BNK1,cash,,False,2
,,base.mycompany,Banca,True,BNK2,bank,,False,2
-9.0-10.0-11.0,,base.mycompany,Note di Credito Fornitori,True,ECNJ,purchase_refund,,False,5
-9.0-10.0-11.0,,base.mycompany,Sezionale Acquisti,True,EXJ,purchase,,False,4
+9.0+10.0+11.0,,${company_id},Sezionale Acquisti,True,FATTU,purchase,,False,4
,,base.mycompany,Proposte di Parcella,True,EXJ2,purchase,,False,4
,,base.mycompany,Movimenti vari,True,MISC,general,,False,3
,,base.mycompany,Voci di apertura,True,OPEJ,general,True,False,3
-9.0-10.0-11.0,,base.mycompany,Sezionale Vendite,True,SAJ,sale,,False,4
+9.0+10.0+11.0,,${company_id},Sezionale Vendite,True,FAT,sale,,False,4
-9.0-10.0-11.0,,base.mycompany,Note di Credito,True,SCNJ,sale_refund,,False,5
,,base.mycompany,Giornale Magazzino,True,STJ,general,,False,3
,,base.mycompany,Utile o Perdita,False,OCLJ,general,True,False,3
,,base.mycompany,Chiusura Profitti & Perdite,False,OLPJ,general,True,False,3
,,base.mycompany,Voci di chiusura patrimoniale,True,OPCJ,general,True,False,3
,,base.mycompany,Autofatture UE,True,SAJ2,sale,,True,4
