model	name	type	hash	6.1	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0
account.account		field	TYPE|INTERNAL_TYPE	type	type	type	internal_type	internal_type	internal_type	internal_type	internal_type	internal_type
account.account		field	USER_TYPE|USER_TYPE_ID	user_type	user_type	user_type	user_type_id	user_type_id	user_type_id	user_type_id	user_type_id	user_type_id
account.account.type		field	REPORT_TYPE|TYPE	report_type	report_type	report_type	type	type	type	type	type	type
account.account.type	name	value	name|Asset View		Asset View	Asset View						
account.account.type	name	value	name|Asset View|Non-current Assets	Asset View	Asset View	Asset View	Non-current Assets	Non-current Assets	Non-current Assets	Non-current Assets	Non-current Assets	Non-current Assets
account.account.type	name	value	name|Asset|Current Assets	Asset	Asset	Asset	Current Assets	Current Assets	Current Assets	Current Assets	Current Assets	Current Assets
account.account.type	name	value	name|Asset|Fixed Assets	Asset	Asset	Asset	Fixed Assets	Fixed Assets	Fixed Assets	Fixed Assets	Fixed Assets	Fixed Assets
account.account.type	name	value	name|Asset|Prepayments	Asset	Asset	Asset	Prepayments	Prepayments	Prepayments	Prepayments	Prepayments	Prepayments
account.account.type	name	value	name|Bank|Bank and Cash	Bank	Bank	Bank	Bank and Cash	Bank and Cash	Bank and Cash	Bank and Cash	Bank and Cash	Bank and Cash
account.account.type	name	value	name|Cash|Bank and Cash	Cash	Cash	Cash	Bank and Cash	Bank and Cash	Bank and Cash	Bank and Cash	Bank and Cash	Bank and Cash
account.account.type	name	value	name|Check		Check	Check						
account.account.type	name	value	name|Check|Credit Card	Check	Check	Check	Credit Card	Credit Card	Credit Card	Credit Card	Credit Card	Credit Card
account.account.type	name	value	name|Current Year Earnings				Current Year Earnings	Current Year Earnings	Current Year Earnings	Current Year Earnings	Current Year Earnings	Current Year Earnings
account.account.type	name	value	name|Equity	Equity	Equity	Equity	Equity	Equity	Equity	Equity	Equity	Equity
account.account.type	name	value	name|Expense View		Expense View	Expense View						
account.account.type	name	value	name|Expense View|Expenses	Expense View	Expense View	Expense View	Expenses	Expenses	Expenses	Expenses	Expenses	Expenses
account.account.type	name	value	name|Expense|Cost of Revenue	Expense	Expense	Expense	Cost of Revenue	Cost of Revenue	Cost of Revenue	Cost of Revenue	Cost of Revenue	Cost of Revenue
account.account.type	name	value	name|Expense|Depreciation	Expense	Expense	Expense	Depreciation	Depreciation	Depreciation	Depreciation	Depreciation	Depreciation
account.account.type	name	value	name|Expense|Expenses	Expense	Expense	Expense	Expenses	Expenses	Expenses	Expenses	Expenses	Expenses
account.account.type	name	value	name|Income	Income	Income	Income	Income	Income	Income	Income	Income	Income
account.account.type	name	value	name|Income View		Income View	Income View						
account.account.type	name	value	name|Income View|Other Income	Income View	Income View	Income View	Other Income	Other Income	Other Income	Other Income	Other Income	Other Income
account.account.type	name	value	name|Liability View		Liability View	Liability View						
