Case,Linux,Windows,OpenVMS 
Simple file,myfile.ext,myfile.ext,myfile.ext 
Abs pathname,/root/myfile.ext,\\root\\myfile.ext,[root]myfile.ext 
Rel pathname,lib/myfile.ext,lib\\myfile.ext,[.lib]myfile.ext 
CWD pathname,./myfile.ext,.\\myfile.ext,[]myfile.ext 
Updir pathname,../myfile.ext,..\\myfile.ext,[-]myfile.ext 
Root file,/myfile.ext,\\myfile.ext,[000000]myfile.ext 
dotted pathname,/u/os.1.0/a.b.c,\\u\\os.1.0/a.b.c,[u.os^.1^.0]a^.^.b.c 
hidden/leading dot,.myfile,.myfile,.myfile ?? 
,,, 
executable,myfile,myfile.exe,myfile.exe 
command file,myfile,myfile.bat,myfile.com 
directory,mydir/,mydir,mydir.DIR 
,,, 
dev null,/dev/null,nul,NL0: 
dev/disk/myfile,/dev/disk/myfile,c:\\myfile,disk:[000000]myfile 
system disk,/c/temp/myfile,c:\\temp\\myfile,c:[temp]myfile 
