id,partner_id,company_id,origin,date_invoice,type,journal_id,fiscal_position,currency_id
z0bug.invoice_ZI_1,z0bug.res_partner_10,,SAJ/0807,-370,in_invoice,z0bug.purchase,z0bug.fiscalpos_it,base.EUR
z0bug.invoice_PY_1,z0bug.res_partner_1,,Telefonico,-368,out_invoice,z0bug.sale,z0bug.fiscalpos_it,base.EUR
z0bug.invoice_PY_2,z0bug.res_partner_2,,Telefonico,-368,out_invoice,z0bug.sale,z0bug.fiscalpos_it,base.EUR
z0bug.invoice_Z0_1,z0bug.res_partner_1,,P1/2021/0001,-62,out_invoice,z0bug.sale,z0bug.fiscalpos_it,base.EUR
z0bug.invoice_Z0_2,z0bug.res_partner_2,,SO123,-62,out_invoice,z0bug.sale,z0bug.fiscalpos_it,base.EUR
z0bug.invoice_Z0_3,z0bug.res_partner_8,,21011214,-62,out_invoice,z0bug.sale,z0bug.fiscalpos_sp,base.EUR
z0bug.invoice_Z0_4,z0bug.res_partner_13,,IT/21/002,-62,out_invoice,z0bug.sale,fiscalpos_eu,base.EUR
z0bug.invoice_Z0_5,z0bug.res_partner_9,,Telefonico,-62,out_invoice,z0bug.sale,z0bug.fiscalpos_it,base.EUR
z0bug.invoice_Z0_6,z0bug.res_partner_6,,mail,-62,out_invoice,z0bug.sale,z0bug.fiscalpos_li,base.EUR
z0bug.invoice_Z0_7,z0bug.res_partner_1,,P1/2021/0013,-62,out_invoice,z0bug.sale,z0bug.fiscalpos_it,base.EUR
