id,default_code,name,lst_price,standard_price,categ_id,type,taxes_id,supplier_taxes_id,property_account_income_id,property_account_expense_id,uom_id,uom_po_id,conai_category_id,conai_category2_id,weight
z0bug.product_template_0,MISC,Varie,18,9.5,product.product_category_all,consu,z0bug.tax_22v,z0bug.tax_22a,z0bug.coa_510000,z0bug.coa_610100,product.product_uom_unit,product.product_uom_unit,l10n_it_conai.ca,,
z0bug.product_template_1,AA,Prodotto Alpha,0.84,0.42,product.product_category_1,consu,z0bug.tax_22v,z0bug.tax_22a,z0bug.coa_510000,z0bug.coa_610100,product.product_uom_unit,product.product_uom_unit,l10n_it_conai.ca,,0.1
z0bug.product_template_2,BB,Prodotto Beta,3.38,1.69,product.product_category_1,consu,z0bug.tax_22v,z0bug.tax_22a,z0bug.coa_510000,z0bug.coa_610100,product.product_uom_unit,product.product_uom_unit,,,0.2
z0bug.product_template_3,CC,Prodotto Chi,0.74,0.37,product.product_category_1,consu,z0bug.tax_22v,z0bug.tax_22a,z0bug.coa_510000,z0bug.coa_610100,product.product_uom_unit,product.product_uom_unit,l10n_it_conai.ca,l10n_it_conai.ca2,0.15
z0bug.product_template_4,DD,Prodotto Delta,2.64,1.32,product.product_category_1,consu,z0bug.tax_22v,z0bug.tax_22a,z0bug.coa_510000,z0bug.coa_610100,product.product_uom_unit,product.product_uom_unit,l10n_it_conai.al,l10n_it_conai.ac,0.24
z0bug.product_template_5,EE,Prodotto Epsilon,0.96,0.48,product.product_category_1,consu,z0bug.tax_22v,z0bug.tax_22a,z0bug.coa_510000,z0bug.coa_610100,product.product_uom_unit,product.product_uom_unit,l10n_it_conai.al,l10n_it_conai.ca,0.15
z0bug.product_template_6,FF,Prodotto Phi,4.68,2.34,product.product_category_1,consu,z0bug.tax_22v,z0bug.tax_22a,z0bug.coa_510000,z0bug.coa_610100,product.product_uom_unit,product.product_uom_unit,l10n_it_conai.ac,,0.3
z0bug.product_template_7,GG,Prodotto Gamma,0.57,0.29,product.product_category_1,consu,z0bug.tax_22v,z0bug.tax_22a,z0bug.coa_510000,z0bug.coa_610100,product.product_uom_unit,product.product_uom_unit,,,0.04
z0bug.product_template_8,HH,Prodotto Hospice/Eta,1.72,0.86,product.product_category_1,consu,z0bug.tax_4v,z0bug.tax_4a,z0bug.coa_510000,z0bug.coa_610100,product.product_uom_unit,product.product_uom_unit,l10n_it_conai.ca,,0.11
z0bug.product_template_9,II,Prodotto Iota,0.71,0.35,product.product_category_1,consu,z0bug.tax_10v,z0bug.tax_10a,z0bug.coa_510000,z0bug.coa_610100,product.product_uom_unit,product.product_uom_unit,l10n_it_conai.ca,,0.09
z0bug.product_template_10,JJ,Prodotto Juvenilia/Psi,1.46,0.73,product.product_category_1,consu,z0bug.tax_22v,z0bug.tax_22a,z0bug.coa_510000,z0bug.coa_610100,product.product_uom_unit,product.product_uom_unit,l10n_it_conai.ac,,0.25
z0bug.product_template_11,KK,Prodotto Kappa,0.48,0.24,product.product_category_1,consu,z0bug.tax_22v,z0bug.tax_22a,z0bug.coa_510000,z0bug.coa_610100,product.product_uom_unit,product.product_uom_unit,,,0.02
z0bug.product_template_12,LL,Prodotto Lambda,0.44,0.22,product.product_category_1,consu,z0bug.tax_22v,z0bug.tax_22a,z0bug.coa_510000,z0bug.coa_610110,product.product_uom_unit,product.product_uom_unit,,,0.05
