qci,description
pay.SCT,Credit Transfer payment / Pagamento bonifico
pay.RB,RiBA payment / Pagamento RiBA (IT)
pay.SDD,Sepa Direct Debit / Pagamento Sepa DD
part.pt1,Partner with one date payment / Cliente con pagamento in unica soluzione
part.pt2,Partner with multiple date payment / Cliente con pagamento di più scadenze
part.it,Local partner (Italy) / Cliente italiano
part.eu,EU partner / Cliente intraUE
part.xeu,Extra-EU partner / Cliente extraUE
acc.rc,Reverse Charge
acc.sp,Split Payment
part.PA,Partne is PA
acc.uVAT,Full Undeductible VAT / IVA totalmente indetraibile
acc.puVAT,Undeductible VAT / IVA parzialmente indetraibile
inv.asset,Invoice with asset/Fattura di beni strumentali
inv.asalem,Corrispettivi misti
inv.asalex,Corrispettivi ripartiti (ventilazione)
acc.uRB,Insoluto RiBA
invo.sp,Sale invoice with split payment / Fattura di vendita con split-payment
invo.rc,Sale invoice with reverse charge / Fattura di vendita con reverse charge
invo.eu,Sale invoice to EU partner / Fattura di vendita intraUE
invo.xeu,Sale invoice to xEU partner / Fattura di vendita extraUE
invo.li,Sale invoice with lettera di intento / Fattura di vendita lettera di intento
invo.wht,Sale invoice with withholding / Fattura di vendita ritenuta d'acconto
invo.enas,Sale invoice with enasarco / Fattura di vendita con ensarco
invi.sp,Purchase invoice with split payment / Fattura di acquisto con split-payment
invi.rc,Purchase invoice with reverse charge / Fattura di acquisto con reverse charge
invi.eu,Purchase invoice from EU partner / Fattura di acquisto intraUE
invi.xeu,Purchase invoice fromxEU partner / Fattura di acquisto extraUE
invi.li,Purchase invoice with lettera di intento / Fattura di acquisto lettera di intento
invi.wht,Purchase invoice with withholding / Fattura da fornitore con ritenuta d'acconto
invi.enas,Purchase invoice with enasarco / Fattura da fornitore con ensarco
einvo.ind,E-invoice to individual / Fattura elettronica a privato
einvo.stamp,E-invoice with virtual stamp / Fattura elettronica con bollo virtuale
invo.vat3,Sale invoice with vat 22% / Fattura di vendita con IVA 22%
invo.vat2,Sale invoice with vat 10% / Fattura di vendita con IVA 10%
invo.vat1,Sale invoice with vat 4% / Fattura di vendita con IVA 4%
invo.N1,Sale invoice with out of vat / Fattura di vendita con FC art. 15
