id,name,side,icq
z0bug.res_partner_1,Prima Distribuzione S.p.A.,customer/supplier,icq_0002 icq_0006 icq_pa11
z0bug.res_partner_10,Notaio Libero Jackson,supplier,
z0bug.res_partner_11,Nebula Caffè S.p.A.,supplier,
z0bug.res_partner_12,Freie Universität Berlin,supplier,
z0bug.res_partner_13,Axelor GmbH,customer,icq_pa12
z0bug.res_partner_14,SS Carrefur,supplier,
z0bug.res_partner_15,Ente Porto,customer,icq_0002 icq_pa14 icq_pa16
z0bug.res_partner_16,Viking Office Depot Italia s.r.l.,customer/supplier,
z0bug.res_partner_17,Vexor BV,supplier,
z0bug.res_partner_2,Agro Latte Due  s.n.c.,customer,icq_0002 icq_0007
z0bug.res_partner_3,Import Export Trifoglio s.r.l.,customer,icq_0001 icq_0006
z0bug.res_partner_4,Delta 4 s.r.l.,supplier,
z0bug.res_partner_5,Five Stars Hotel,supplier,
z0bug.res_partner_6,Esa Electronic S.p.A,customer,icq_0003
z0bug.res_partner_7,Università della Svizzera Italiana,customer,icq_pa13
z0bug.res_partner_8,Global Solution s.r.l.,customer,icq_pa15
z0bug.res_partner_9,Mario Rossi,customer,
