variable,default value,meaning
CHROME_TEST,,Set value to 1 to use chrome client to test
DATA_DIR,~/data_dir,Odoo data directory (data_dir in config file)
EXCLUDE,,Modules to exclude from test
INCLUDE,,Modules to test (all, if empty)
INSTALL_OPTIONS,,Options passed to odoo-bin/openerp-server to install modules
MQT_TEMPLATE_DB,,Read above
MQT_TEST_DB,,Read above
NPM_CONFIG_PREFIX,\$HOME/.npm-global,N/D
ODOO_REPO,odoo/odoo,OCB repository against test repository
ODOO_SETUPS,__manifest__.py __openerp__.py __odoo__.py __terp__.py,Names of Odoo manifest files
ODOO_TEST_SELECT,ALL,Read above
ODOO_TNLBOT,0,No yet documented
OPTIONS,,Options passed to odoo-bin/openerp-server to execute tests
PHANTOMJS_VERSION,,Version of PhantomJS
PS_TXT_COLOR,0;97;40,N/D
PS_RUN_COLOR,1;36;48;5,N/D
PS_NOP_COLOR,31;105,N/D
PS_HDR1_COLOR,97;48;5;22,N/D
PS_HDR2_COLOR,30;43,N/D
PS_HDR3_COLOR,30;47,N/D
PYPI_RUN_PYVER,(2.7|3.5|3.6|3.7|3.8),python versions to run (only PYPI projects)
SERVER_EXPECTED_ERRORS,,# of expected errors after tests
TRAVIS_DEBUG_MODE,0,Read above
TRAVIS_PDB,,Activate pdb to local test (experimental)
UNBUFFER,True,Use unbuffer (colors) to log results
UNIT_TEST,,Read above
TEST,,Read above
VERSION,,Odoo version to test (see above)
WEBSITE_REPO,,Load package for website tests
WKHTMLTOPDF_VERSION,0.12.5,Version of wkhtmltopdf (value are 0.12.1, 0.12.4, 0.12.5 and 0.12.6)
